"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"13",13,0.74500061301718,0,0,0,0,0.678763249071526,2.13738078414617,1.92393987342936,3.98389781742518,4.03621041508012,0,0,5.08551284738279,0,2.34234447954941,0,0,0.403978653750948,1.70173270256375,0.798441282541269,1.87520155699052,0,0,0,0.246972352038202,0.472489840738522,0.18
"14",14,0.828754278407683,0,0,0,0,0,0.799764579969167,1.03378223500145,4.18255908368365,4.34724239205356,0,0.388063465842824,4.98056296985972,0,0.00994927745267129,0,0,0.329775811175714,1.00027337276935,0.301922111304057,2.37366668010114,0,0,0,0.223267573782937,0.328524558704355,0.17
"15",15,0.862597740558667,0,0,0,0,0,0.0937231818092988,0.965453602804127,4.25464591494102,4.36267175604435,0,1.4220209266047,4.62945691209831,0,0,0,0,0.127564541049051,0.271306723056961,0.539753936597578,0.446814061548384,0,0,0,0.226016945778428,0.173011263481693,0.16
"16",16,0.998842243392346,0,0,0,0,0,0.22753957472088,1.39355076571501,4.20531815508025,3.87834951232121,0,0,3.08566084541423,0,0,0,0,0,0,0.372213961642815,0.393907207023829,0,0,0,0.0817092297582067,0,0.25
"17",17,1.46984532367222,0,0,0,0,0,0.906858227207164,0,4.09819853071204,4.12366544283174,0,0,0,0,2.18284941491254,0,0,0,0,0.327362323617947,0.436823448905927,0,0,0,0.19653748112856,0.493877458765773,0.1
"18",18,0.460171914433219,0,0,0,0,0,0,1.28616733034733,3.74309045703177,1.6615976189147,0,0,1.98697521081183,2.12135525365889,0,0,0,0,0,0,0,0,0,0,0,0,0.26
"19",19,0.780276509796362,0,0,0,0,0,0,1.56015565949987,4.14273468935217,2.29864040727414,0,0,4.26466884908469,3.07400315996338,0,0,0,0.0503319098080491,0,0.0907609203967937,1.51962921778279,0,0,0,0.00425944344183885,0,0.25
"20",20,0.623076459527964,0,0,0,0,0,0,1.70551426933499,4.07289098173811,1.70328020202553,0,0,4.37031206202221,3.22815673431616,0,0,0,0.0327658165271937,0,0.0435597919912718,0,0,0,0,0,0.00783170278643408,0.4
"21",21,0.127736657891461,4.12596317090522,1.9076238965913,0,0,0,0,0,2.01931430084002,5.0040631863054,0,0.128212679219424,0,0.531237487647763,0,0,0.319160255689024,0,0,0,1.70119771193197,0,0,0.125429785121217,0.199394677229933,0,0.23
"22",22,0.142342780221491,4.04557697999154,1.826374908471,0,0,0,0,0,2.13690290173246,5.08490529007845,0,0.066818005091786,0,0.320312361637187,0,0,0.244953086171675,0,0,0,0,0,0,0.0315649959883844,0.174369099375104,0,0.44
"23",23,0.106878135910006,3.85616783764572,0.34822024547549,0,0,0,0,0,2.00288798242925,4.98839745792981,0,0.181026791135287,0,0.472208914223345,0,0,0.258010230059986,0,0,0,0,0,0,0.0970050560954681,0.155413510250407,0,0.35
"24",24,0,3.10900406426698,0.917099145212058,0,0,0,0,0,0.603859176111786,3.66216161733608,0,0,0,0.0200373845845817,0,0,0,0,0,0,0,0,0,0,0,0,0.29
"25",25,0,0,0,0,0,0,0.0644416217618373,0,0.266263279310391,3.01435709825569,0,0,0,0,0.439784141148918,0,0,0,0,0.0300849796970511,0,0,0,0,0.0695215914191237,0,0.31
"26",26,0.158068969843674,0,0,0,0,0,1.74007328300113,0,0.272675789772128,3.14710070804119,0,0,0,0,1.15120552056549,0,0,0,0,0.165156680372625,0,0,0,0,0.014895502243969,0.296147874385083,0.2
"27",27,0.516263725905482,0,0,0,0,0.676996684218495,0.48619701956723,0,1.64651672773664,4.61409448994107,0,0,0,0,2.17647580408502,0,0,0,0,1.99722332826465,0,0,0,0,0.0738632960426076,0,0.3
"28",28,1.45595221415348,0,0,0,0,1.81358252680218,1.73313053075425,0,1.55144176210849,4.55923565622863,0,0,0,0,1.09720748992043,0,0,0,0,1.29371571143247,0.257537986902827,0,0,0,0.105421251081532,0,0.15
"29",29,0.0432668147648907,0,0,0,0,0,0.163959083518505,1.33239426991732,1.75242670972692,4.67461644882833,0,0,1.29522098772905,0,0.0229735416164072,0,0,0,0,0.0817614417778848,0.208893063151643,0,0,0,0.864753437625119,0,0.17
"30",30,0.285574665601762,0,0,0,0,0,1.04390035871478,2.16200673174451,1.80388062247548,4.75012208704705,0,0,1.63403866841933,0,2.20918024480762,0,0,0,0,0.0549633583994744,0.0981888927503695,0,0,0,1.07076218645395,0.0853123188810433,0.12
"31",31,0.624016704408735,0,0,0,0,0,1.97507267439991,1.71642697955912,3.88904950906175,3.67797787005046,0,0,4.30665065592374,0,1.97935819951607,0,0,0.0950753456741296,0.301746087557616,0.231248067596007,0.247673122913368,0,0,0,0.0467527935153618,0.119346895169723,0.21
"32",32,0.739468459392451,0,0,0,0,0.408235461022603,1.88701890274086,2.07417251537316,4.00480540686917,4.01663046753339,0,0,5.36331544299906,0,2.29787680499203,0,0,0.496266048523747,1.77371598301333,0.162645346114834,0.151324658430805,0,0,0,0.438424768705409,0.773414006801642,0.2
"33",33,0.266783448289571,0,0,0,0,0.247300903636244,0.788083989566654,1.79903014256145,3.36736612480787,3.02073521142714,0,0,4.32508705696848,0,1.96792538357949,0,0,0.0632229166240447,1.70534351033806,0.317469047310216,0.0532865110100098,0,0,0,0.139390813327507,0.122452743793551,0.23
"34",34,0.449947108612207,0,0,0,0,0,0.280628771690182,0.831079225885435,3.73537248489233,3.67973854655538,0,0,4.70890067936043,0,0,0,0,0.157431459878858,1.81850972846028,0.424004003765716,0.181217858392666,0,0,0,0.197683609484953,0.166734902983574,0.3
"35",35,0.561652896517663,0,0,1.28332096574338,0,0,1.58266878364849,1.09468639874539,3.62850039078034,2.7583585068365,0.146165931255822,0,3.91119600474833,1.38396752249081,0,0,0,0.316642581744773,0.0498064056683019,0.107882513356647,4.50464636101805,0.588116445537116,0,0,0.114707749345246,0,0.05
"36",36,1.29347453022005,0,0,0,0,0,0.52103699238102,1.65055065730636,4.48306573563738,4.34322400966049,0,0,4.50889442347982,0,0.0846934867979091,0,0,0.112524566430568,0.049576493463054,0.309302716745989,0.56884767342003,0,0,0,0.175546910441782,0.157460231316087,0.25
"37",37,0.285000011319772,0,0,0,0,0.151063463830383,0,0.999907955258978,3.49439917860234,2.39882205448931,0,0,4.15324770472639,2.65445565352631,0,0,0,0,1.72920352218717,0.290691976350629,0,0,0,0,0,0,0.13
"38",38,0.570266192768965,0,0,0,0,0,0,1.51234583828839,3.86150787369969,2.04742033889467,0,0,3.82691231907921,1.77256233993486,0,0,0,0,0,0.0286294061893645,0,0,0,0,0,0,0.4
"39",39,0.81042065872576,0,0,0,0,0,0,1.66446932889055,4.11932368160486,2.26207598350394,0,0,3.00628695405137,2.90936410483736,0,0,0,0,0,0.0404408690454735,0,0,0,0,0,0,0.42
"40",40,0.814084024100382,0,0,0,0,0,0,1.55304721525299,4.18540646869096,2.75635094977342,0,0,4.29435746958288,3.02218083556702,0,0,0,0.024614581333474,0,0.0809987167334652,0,0,0,0,0.0275020171836149,0.00031134215611885,0.32
"41",41,0.163291285833478,5.10485796004748,0.883273177593148,0.156004111529461,2.0178961334258,0.203971675308496,0,0,2.1350988478093,5.24206598065723,0.108954480782268,0,0,1.61105164690226,0,0,0.81910747223876,0.0933856865019966,0,0,1.79894460035718,0,5.04568553579795,0,0.274308004916929,0.734228461467027,0.04
"42",42,0.293487642933936,3.7678476223315,3.54655867029486,0,2.63616509414027,0,2.0169102658578,0,0.886478540180208,3.67880186576766,0,0,0,0.296026852291144,0,0,0.796179358317825,0.575317337362956,0,0,5.79151661056018,0,0,0,0.238243992196785,0,0.16
"43",43,0.204867735811097,3.98272001914685,0.335730356317205,0,6.30964886464592,0,0.45563593923801,0,1.99633206908709,4.51784499198911,0,2.00117835900918,0,0.438856794558433,0,0,1.92136225590044,0.116136812259107,0,0,3.19271140382515,0,0.0441013713812879,0,0.296833460269613,0,0.1
"44",44,0,2.7021465363953,0,0,5.38030314644536,0,0,0,0.769354347381934,3.09493965527142,0,1.01071738397058,0,0,0,0,0.663291468050326,0,0,0,1.10537765191496,0,0,0,0.0537858584369282,0,0.1
"45",45,0.214768027448568,0,0,0,0,0,0.175638942120985,0,0,2.24702067282826,0,0,0,0,1.80327229454821,0,0,0,0,0.0309315097498267,0,0,0,0,0,0.325102411642544,0.27
"46",46,0.206093570644016,0,0,0,0,0,0.220301649109825,0,0.766664969102459,3.74893215797268,0,0,0,0,2.10466858052501,0,0,0,0,0.133315594131023,0,0,0,0,0,0.0785195259678327,0.36
"47",47,0.47543885978435,0,0,0,0,0,1.20827650727035,0,0.732750617141357,3.72936430478519,0,0,0,0,2.00955647230752,0,0,0,0,0.379514636468879,0,0,0,0,0.0844445423536312,1.5323094700915,0.29
"48",48,1.75809022084461,0,0,0,0,0,0.86896858343707,0,0.342489253000042,3.40106310887254,0,0,0,0,2.23733542985831,0,0,0,0,0.146135017250116,0,0,0,0,0.0682111419739605,0.789916787230712,0.28
"49",49,1.07515895765396,0,0,0,0,0.386116299839396,0.385633346248254,0,2.12238441461027,4.99227106461428,0,0,0,0,2.47532444618095,0,0,0,0,0.384037723288797,0.0754698597796494,0,0,0,0.21754933445821,0.0715915335303972,0.26
"50",50,1.50527968186424,0,2.8806030192801,0,0,0,0.95942945870054,0,4.17901446658574,4.05146043397501,0,0.194450777792479,0,0,2.05023678531881,0,0,0,0,0.218014594036906,0.611590415053255,0,0,0,0.157449263217444,0.790647795070225,0.06
"51",51,1.03429067695289,0,0,0,0,0,0.660551660098822,1.18778237427366,4.34730100838857,4.33485130264766,0,0,4.97102226845137,0,2.02405460079402,0,0,0.294694966071291,0.334387448860011,0.263301691474257,1.75419541027944,0,0,0,0.175817196107137,0.582553224249637,0.18
"52",52,0.932000251628845,0,0,0,0,0,0.500055559029153,0.669775132274105,4.29561271154889,4.317394620034,0,0,5.18412200075904,0,1.98403147858449,0,0,0.34280362696447,0.383219227605553,0.319967763691934,0,0,0,0,0.196919538638312,0.886950321192443,0.25
"53",53,0.487068209456351,0,0,0,0,0.179399192057942,1.30737932556791,0.783044453931224,3.52090175328844,3.56040141323462,0,0,4.45063107368124,0,1.56874564793997,0,0,0.0741427230133246,1.86455590366092,1.68735099364265,0.434655892349352,0,0,0,0.0705671611847457,0.121874358140172,0.21
"54",54,0.338821489416657,0,0,0,0,0.173567043813006,1.7748513370445,1.57879589058535,3.54370945284395,3.3326210954627,0,0,4.66724835703357,0,0.411804260424086,0,0,0.157760201372312,1.82230027052165,0.486230552047266,0.331088739801486,0,0,0,0.198245460029799,0.146459389195603,0.21
"55",55,0.954933467502537,0,0,0,0,0,0.232007494964075,0.986050237749474,4.35963035977364,4.08091304120036,0,0,5.47782829043352,0,0,0,0,0.630503509559241,0.593553351651581,0.213946431105921,0.376239436337782,0,0,0,0.275705968267913,1.02512938683375,0.25
"56",56,0.371193996056557,0,0,0,0,0,1.65990011075724,0.793730999491056,3.62235601307669,3.24292938121273,0,0,4.53221538338404,0,0.403813803574739,0,0,0.119812626090733,0.192546608626336,0.118402831686515,0.120357449195655,0,0,0,0,0.130403748280646,0.25
