"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"169",169,0,0,0,0.682128393176052,0,0,0.581150085967185,0,0,0.42220531988014,0.0784309507176775,0,0,0,0,0,0,0,0,0,0.657075584764509,0,0,0,0,0,0.25
"170",170,0,0,0,0.570447176968215,0,0,0.480295392341275,0,0,0.11289839345019,0.18393269457581,0,0,0.0776020884259353,0,0,0,0.0160532444362235,0,0,0.72854648650105,0.595759295986048,0.303628561829944,0,0,0,0.23
"171",171,0,0,0,0.609237115174961,0,0,0.688376302575187,0,0,0.169536109319189,0.259923559774773,0,0,0.347966112237573,0,0,0,0.109648459184994,0,0,0.787549020584697,0.400829459657527,0.71366378638868,0,0,0.0748313317309239,0.11
"172",172,0,0,0,0,0,0,0.185948463751139,0,0.0470205792659774,0.508253457646171,0,0,0,0,0.206376680252683,0,0,0,0,0,0.568898323933386,0,0.672661647408105,0,0,0.00695381208696557,0.17
"173",173,0,0.680040826533124,0.0289742495172885,0,0,0,0,0,0,0.337578611951882,0,1,0,0.739868208093313,0,0,0,0,0,0,0,0,0.363659792507135,0,0.0300641333967523,0.637182767873896,0.06
"174",174,0,0,0,0,0,0,0.0669018488186992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747595250073337,0,0,0.0648282116670647,0.32
"175",175,0,0,0,0,0,0,0,0.216975482646461,0,0.174256749473621,0,0,0.539747885377978,0.17948913508822,0,0.946726003208087,0,0,0,0,0,0,0.490554026766207,0,0,0,0.15
"176",176,0,0,0,0,0,0,0,0.369775127526642,0,0.0695693090762221,0,0,0.476933546862671,0,0,0.952909813303174,0,0,0,0,0,0,0,0,0,0,0.15
"177",177,0.110269771653743,0,0,0,0,0,0.588423652095993,0.792353392432036,0,0.246898135740626,0,0,0,0,0.572243110408482,0.938868342347105,0,0,0,0,0.00203748581064956,0,0,0,0,0.0127892815587888,0.14
"178",178,0.17704416211083,0,0,0,0,0,0.508554894811772,0.847971862614808,0,0.221373060079373,0,0,0,0,0.519586182771887,0,0,0,0,0,0,0,0,0,0,0,0.14
"179",179,0,0,0,0,0,0,0.000516957249793441,0,0,0.149112352198474,0,0,0,0,0,0,0,0,0,0,0.00951010291412634,0,0,0,1,0,0.03
"180",180,0,0,0.445980643317916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072361647222551,0,0,0,0,0,0.105102731006371,0,0,0.39
